2022-05-12 03:01:09.155179400 T> capture finish 6 ms
2022-05-12 03:01:09.161583200 T> capture finish 6 ms
2022-05-12 03:01:09.168903100 T> capture finish 7 ms
2022-05-12 03:01:09.175843800 T> capture finish 6 ms
2022-05-12 03:01:09.182910000 T> capture finish 6 ms
2022-05-12 03:01:09.189843000 T> capture finish 6 ms
2022-05-12 03:01:09.197000100 T> capture finish 6 ms
2022-05-12 03:01:09.204298300 T> capture finish 7 ms
2022-05-12 03:01:09.210879900 T> capture finish 6 ms
2022-05-12 03:01:09.218407700 T> capture finish 7 ms
2022-05-12 03:01:09.225962000 T> capture finish 7 ms
2022-05-12 03:01:09.234354500 T> capture finish 8 ms
2022-05-12 03:01:09.242969800 T> capture finish 8 ms
2022-05-12 03:01:09.251788800 T> capture finish 8 ms
2022-05-12 03:01:09.259122700 T> capture finish 6 ms
2022-05-12 03:01:09.266478900 T> capture finish 7 ms
2022-05-12 03:01:09.277891500 T> capture finish 11 ms
2022-05-12 03:01:09.284776000 T> capture finish 6 ms
2022-05-12 03:01:09.291947900 T> capture finish 6 ms
2022-05-12 03:01:09.299549100 T> capture finish 7 ms
2022-05-12 03:01:09.306438200 T> capture finish 6 ms
2022-05-12 03:01:09.314118700 T> capture finish 7 ms
2022-05-12 03:01:09.320998700 T> capture finish 6 ms
2022-05-12 03:01:09.327597500 T> capture finish 6 ms
2022-05-12 03:01:09.334981300 T> capture finish 7 ms
2022-05-12 03:01:09.342627700 T> capture finish 7 ms
2022-05-12 03:01:09.352699800 T> capture finish 9 ms
2022-05-12 03:01:09.359603600 T> capture finish 6 ms
2022-05-12 03:01:09.368144900 T> capture finish 6 ms
2022-05-12 03:01:09.377002900 T> capture finish 8 ms
2022-05-12 03:01:09.384173100 T> capture finish 6 ms
2022-05-12 03:01:09.392183900 T> capture finish 7 ms
2022-05-12 03:01:09.399083000 T> capture finish 6 ms
2022-05-12 03:01:09.407198300 T> capture finish 7 ms
2022-05-12 03:01:09.414910800 T> capture finish 7 ms
2022-05-12 03:01:09.422457300 T> capture finish 7 ms
2022-05-12 03:01:09.429167400 T> capture finish 6 ms
2022-05-12 03:01:09.437640800 T> capture finish 8 ms
2022-05-12 03:01:09.448599500 T> capture finish 9 ms
2022-05-12 03:01:09.457355200 T> capture finish 8 ms
2022-05-12 03:01:09.465342000 T> capture finish 7 ms
2022-05-12 03:01:09.473049000 T> capture finish 7 ms
2022-05-12 03:01:09.481448800 T> capture finish 8 ms
2022-05-12 03:01:09.489424000 T> capture finish 7 ms
2022-05-12 03:01:09.496496900 T> capture finish 6 ms
2022-05-12 03:01:09.506216000 T> capture finish 9 ms
2022-05-12 03:01:09.514009200 T> capture finish 7 ms
2022-05-12 03:01:09.521284300 T> capture finish 6 ms
2022-05-12 03:01:09.528710600 T> capture finish 7 ms
2022-05-12 03:01:09.536187900 T> capture finish 7 ms
2022-05-12 03:01:09.543581000 T> capture finish 7 ms
2022-05-12 03:01:09.552329600 T> capture finish 8 ms
2022-05-12 03:01:09.559036500 T> capture finish 6 ms
2022-05-12 03:01:09.566162500 T> capture finish 6 ms
2022-05-12 03:01:09.573899100 T> capture finish 7 ms
2022-05-12 03:01:09.582060500 T> capture finish 7 ms
2022-05-12 03:01:09.589011800 T> capture finish 6 ms
2022-05-12 03:01:09.596360500 T> capture finish 7 ms
2022-05-12 03:01:09.604014500 T> capture finish 7 ms
2022-05-12 03:01:09.611447000 T> capture finish 7 ms
2022-05-12 03:01:09.618399300 T> capture finish 6 ms
2022-05-12 03:01:09.626185100 T> capture finish 7 ms
2022-05-12 03:01:09.634578100 T> capture finish 8 ms
2022-05-12 03:01:09.643145000 T> capture finish 8 ms
2022-05-12 03:01:09.649473500 T> capture finish 6 ms
2022-05-12 03:01:09.657010700 T> capture finish 7 ms
2022-05-12 03:01:09.663560000 T> capture finish 6 ms
2022-05-12 03:01:09.671355200 T> capture finish 7 ms
